"#%1: %2","#%1: %2"
"-- Not analyzed --","-- Not analyzed --"
"Is there a relevant opportunity to apply a discount to this product? Consider slow sales, high stock, time since the last sale, existing special price and margin when cost is present.","Is there a relevant opportunity to apply a discount to this product? Consider slow sales, high stock, time since the last sale, existing special price and margin when cost is present."
"Is there a relevant opportunity to cross-sell this product together with complementary products, given what it is and its current linked products?","Is there a relevant opportunity to cross-sell this product together with complementary products, given what it is and its current linked products?"
"Is there a relevant opportunity to upsell from this product to a higher value alternative, given its price positioning and its current linked products?","Is there a relevant opportunity to upsell from this product to a higher value alternative, given its price positioning and its current linked products?"
"Is there evidence of coupon abuse by this customer, such as many distinct coupon codes, discounts that are unusually large compared to spending or orders canceled after using coupons?","Is there evidence of coupon abuse by this customer, such as many distinct coupon codes, discounts that are unusually large compared to spending or orders canceled after using coupons?"
"Is this product assigned to the correct categories given its name, description and attributes?","Is this product assigned to the correct categories given its name, description and attributes?"
"Is this product ready to be published and sold on the storefront?","Is this product ready to be published and sold on the storefront?"
"Jev Activity report","Jev Activity report"
"Jev Activity","Jev Activity"
"Jev Answer","Jev Answer"
"Jev Customer Assessment","Jev Customer Assessment"
"Jev Risk Assessment","Jev Risk Assessment"
"Jev analysis refreshed.","Jev analysis refreshed."
"Jev analyzed %1 order(s) and %2 customer(s).","Jev analyzed %1 order(s) and %2 customer(s)."
"Jev analyzed %1 record(s).","Jev analyzed %1 record(s)."
"Jev could not analyze %1 record(s).","Jev could not analyze %1 record(s)."
"Jev could not refresh: %1","Jev could not refresh: %1"
"Jev handlers must implement %1.","Jev handlers must implement %1."
"Jev is disabled or has no API key. Check Stores > Configuration > Services > Jev.","Jev is disabled or has no API key. Check Stores > Configuration > Services > Jev."
"Jev is disabled or has no API key.","Jev is disabled or has no API key."
"Jev is the decision model of <a href=""https://typesafe.ai"" target=""_blank"">Typesafe</a>. Every time an order, customer, product or review is saved, Jev answers a fixed set of questions about it (risk, quality, recommended action) and the answers are stored as attributes you can see in grids and in the ""Jev"" tabs.","Jev is the decision model of <a href=""https://typesafe.ai"" target=""_blank"">Typesafe</a>. Every time an order, customer, product or review is saved, Jev answers a fixed set of questions about it (risk, quality, recommended action) and the answers are stored as attributes you can see in grids and in the ""Jev"" tabs."
"Jev recommends ""%1"" (risk: %2, fraud: %3).","Jev recommends ""%1"" (risk: %2, fraud: %3)."
"Jev","Jev"
"Jev: Action","Jev: Action"
"Jev: Authenticity","Jev: Authenticity"
"Jev: Fraud Risk","Jev: Fraud Risk"
"Jev: Fulfillment Risk","Jev: Fulfillment Risk"
"Jev: Main Risk Factor","Jev: Main Risk Factor"
"Jev: Manual Review","Jev: Manual Review"
"Jev: Order Risk","Jev: Order Risk"
"Jev: Payment Risk","Jev: Payment Risk"
"Jev: Recommended Action","Jev: Recommended Action"
"Jev: Recovery Priority","Jev: Recovery Priority"
"Jev: Recovery Strategy","Jev: Recovery Strategy"
"Jev: Return Risk","Jev: Return Risk"
"Jev: Shipping Risk","Jev: Shipping Risk"
"Keep as is","Keep as is"
"LTV Potential","LTV Potential"
"Last Error","Last Error"
"Last Jev call failed: %1","Last Jev call failed: %1"
"Last analyzed: %1","Last analyzed: %1"
"Likely Abuse","Likely Abuse"
"Likely","Likely"
"Limited time","Limited time"
"Liquidate","Liquidate"
"Low Value","Low Value"
"Low stock","Low stock"
"Low","Low"
"Loyalty Reward","Loyalty Reward"
"Main Risk Factor","Main Risk Factor"
"Maintain","Maintain"
"Major Issues","Major Issues"
"Manual Review","Manual Review"
"Many cancellations, refunds or abuse signals","Many cancellations, refunds or abuse signals"
"Maximum time to wait for one Jev answer. A typical call takes less than a second.","Maximum time to wait for one Jev answer. A typical call takes less than a second."
"Medium","Medium"
"Merchandising Strategy","Merchandising Strategy"
"Messaging Angle","Messaging Angle"
"Minimum Age (hours)","Minimum Age (hours)"
"Minor Issues","Minor Issues"
"Missing entity id.","Missing entity id."
"Missing or inconsistent attributes","Missing or inconsistent attributes"
"Missing","Missing"
"Mixed","Mixed"
"Model","Model"
"Moderate","Moderate"
"Moderately Sensitive","Moderately Sensitive"
"Mostly Complete","Mostly Complete"
"Mostly","Mostly"
"Multiple Factors","Multiple Factors"
"Multiple red flags typical of fraud","Multiple red flags typical of fraud"
"Name or description","Name or description"
"Needs Improvement","Needs Improvement"
"Needs More","Needs More"
"Negative","Negative"
"Neutral","Neutral"
"New Arrivals","New Arrivals"
"New","New"
"No action needed right now","No action needed right now"
"No evidence","No evidence"
"No images at all","No images at all"
"No meaningful risk factor","No meaningful risk factor"
"No","No"
"None","None"
"Normal","Normal"
"Not Ready","Not Ready"
"Not Sensitive","Not Sensitive"
"Not analyzed yet.","Not analyzed yet."
"Not enough information or no category","Not enough information or no category"
"Not enough information","Not enough information"
"Not selling at all with stock on hand","Not selling at all with stock on hand"
"Not worth pursuing","Not worth pursuing"
"Nothing unusual, safe to process normally","Nothing unusual, safe to process normally"
"Occasional","Occasional"
"Occasionally uses a coupon","Occasionally uses a coupon"
"One or two weak red flags","One or two weak red flags"
"Only one image or missing labels","Only one image or missing labels"
"Open the Jev configuration","Open the Jev configuration"
"Order Risk","Order Risk"
"Order Value","Order Value"
"Order value far above the usual","Order value far above the usual"
"Order","Order"
"Orders","Orders"
"Output Tokens","Output Tokens"
"Pattern strongly suggests abuse","Pattern strongly suggests abuse"
"Payment Risk","Payment Risk"
"Payment method or payment verification results","Payment method or payment verification results"
"Payment","Payment"
"Permanently lower the price","Permanently lower the price"
"Personalized Offer","Personalized Offer"
"Personalized","Personalized"
"Poor","Poor"
"Position as a premium product","Position as a premium product"
"Positioning","Positioning"
"Positive","Positive"
"Possibly","Possibly"
"Premium","Premium"
"Present but too short or too generic","Present but too short or too generic"
"Price","Price"
"Pricing Action","Pricing Action"
"Priority","Priority"
"Probabilities","Probabilities"
"Probably Correct","Probably Correct"
"Probably No","Probably No"
"Probably Wrong","Probably Wrong"
"Probably Yes","Probably Yes"
"Problematic","Problematic"
"Process but keep an eye on it","Process but keep an eye on it"
"Process normally","Process normally"
"Product Benefit","Product Benefit"
"Product Health","Product Health"
"Product Issue","Product Issue"
"Product Problem","Product Problem"
"Product","Product"
"Products typically targeted by fraud or with high return rate","Products typically targeted by fraud or with high return rate"
"Promote","Promote"
"Promotion Priority","Promotion Priority"
"Promotion","Promotion"
"Publication Readiness","Publication Readiness"
"Publish And Monitor","Publish And Monitor"
"Publish but watch for similar reviews","Publish but watch for similar reviews"
"Publish","Publish"
"Push","Push"
"Put on hold until more information is available","Put on hold until more information is available"
"Question","Question"
"Rare purchases, low value or some problems","Rare purchases, low value or some problems"
"Ready With Warnings","Ready With Warnings"
"Ready","Ready"
"Recently created account with zero or one order","Recently created account with zero or one order"
"Recommend based on customer behavior","Recommend based on customer behavior"
"Recommended Action","Recommended Action"
"Record","Record"
"Recovery Incentive","Recovery Incentive"
"Recovery Priority","Recovery Priority"
"Recovery Strategy","Recovery Strategy"
"Reduce the price to sell faster","Reduce the price to sell faster"
"Refresh Jev analyses","Refresh Jev analyses"
"Refresh Jev","Refresh Jev"
"Regular","Regular"
"Reject","Reject"
"Reminder","Reminder"
"Reorder Decision","Reorder Decision"
"Repeat buyer with few problems","Repeat buyer with few problems"
"Retargeting ads","Retargeting ads"
"Retargeting","Retargeting"
"Retention Strategy","Retention Strategy"
"Return Propensity","Return Propensity"
"Return Risk","Return Risk"
"Review Action","Review Action"
"Review Authenticity","Review Authenticity"
"Review Quality","Review Quality"
"Review Sentiment","Review Sentiment"
"Review","Review"
"Reviews and popularity","Reviews and popularity"
"Reviews","Reviews"
"Reward loyalty with points, gifts or early access","Reward loyalty with points, gifts or early access"
"Rewrite name or description","Rewrite name or description"
"Run a promotion without cutting the base price","Run a promotion without cutting the base price"
"Safe to process automatically","Safe to process automatically"
"Sales Contact","Sales Contact"
"Sales will be lost without an immediate reorder","Sales will be lost without an immediate reorder"
"Says nothing about the product or is spam","Says nothing about the product or is spam"
"Scarcity","Scarcity"
"Sell together with other products","Sell together with other products"
"Selling fast with low stock and good reviews","Selling fast with low stock and good reviews"
"Send to a manager, for example a serious product or safety complaint","Send to a manager, for example a serious product or safety complaint"
"Several factors combined","Several factors combined"
"Several images with descriptive labels","Several images with descriptive labels"
"Several risk signals, likely to cause a problem","Several risk signals, likely to cause a problem"
"Severely Incomplete","Severely Incomplete"
"Shipping Risk","Shipping Risk"
"Shipping method or destination","Shipping method or destination"
"Shipping","Shipping"
"Should more units of this product be purchased from the supplier now?","Should more units of this product be purchased from the supplier now?"
"Should this order be manually reviewed by a person before it is fulfilled?","Should this order be manually reviewed by a person before it is fulfilled?"
"Show as a better alternative to cheaper products","Show as a better alternative to cheaper products"
"Show as a complement to other products","Show as a complement to other products"
"Show next to similar products","Show next to similar products"
"Similar Products","Similar Products"
"Slightly Sensitive","Slightly Sensitive"
"Social Proof","Social Proof"
"Some minor signals worth a second look","Some minor signals worth a second look"
"Some unusual coupon usage","Some unusual coupon usage"
"Spends far above the average","Spends far above the average"
"Stock Level","Stock Level"
"Stock or status problems","Stock or status problems"
"Stockout Risk","Stockout Risk"
"Stop processing until a person reviews it","Stop processing until a person reviews it"
"Stop selling it","Stop selling it"
"Strong signals of fraud or certain loss","Strong signals of fraud or certain loss"
"Sufficient","Sufficient"
"Support Priority","Support Priority"
"Suspicious","Suspicious"
"Temporary discount","Temporary discount"
"The Jev API answered with HTTP %1. %2","The Jev API answered with HTTP %1. %2"
"The Jev API could not be reached.","The Jev API could not be reached."
"The Jev API key was rejected (HTTP %1). %2","The Jev API key was rejected (HTTP %1). %2"
"The Jev API key was saved but could not be verified: %1","The Jev API key was saved but could not be verified: %1"
"The Jev API response has no answers.","The Jev API response has no answers."
"The Jev API returned an invalid JSON body.","The Jev API returned an invalid JSON body."
"The data does not explain the product","The data does not explain the product"
"The review with id ""%1"" does not exist.","The review with id ""%1"" does not exist."
"These values are computed automatically by Jev every time this product is saved. Enable Jev under Stores > Configuration > Services > Jev.","These values are computed automatically by Jev every time this product is saved. Enable Jev under Stores > Configuration > Services > Jev."
"Timeout (seconds)","Timeout (seconds)"
"Title Quality","Title Quality"
"Too many orders in a short period","Too many orders in a short period"
"Trust","Trust"
"Typesafe rejected this Jev API key. Copy the token again from console.typesafe.ai.","Typesafe rejected this Jev API key. Copy the token again from console.typesafe.ai."
"Uncertain","Uncertain"
"Unclear target audience or value proposition","Unclear target audience or value proposition"
"Unknown Jev entity type ""%1"".","Unknown Jev entity type ""%1""."
"Unknown","Unknown"
"Unusable","Unusable"
"Updated At","Updated At"
"Upsell Opportunity","Upsell Opportunity"
"Upsell","Upsell"
"Urgency","Urgency"
"Urgent","Urgent"
"Used to buy but has gone quiet","Used to buy but has gone quiet"
"Useful","Useful"
"Useless","Useless"
"Uses coupons in a large share of orders","Uses coupons in a large share of orders"
"Velocity","Velocity"
"Very High","Very High"
"Very Likely Fake","Very Likely Fake"
"Very Likely","Very Likely"
"Very Low","Very Low"
"Very short or vague","Very short or vague"
"Vip","Vip"
"Weight or shipping related data","Weight or shipping related data"
"What action should be taken for this order?","What action should be taken for this order?"
"What action should be taken to improve this product?","What action should be taken to improve this product?"
"What is the fraud risk associated with this customer? Consider suspicious email domain, very new account with high spending, many canceled orders, many addresses or inconsistent data.","What is the fraud risk associated with this customer? Consider suspicious email domain, very new account with high spending, many canceled orders, many addresses or inconsistent data."
"What is the fraud risk of this order? Consider mismatching addresses, guest checkout with a suspicious email domain, unusual order value, order velocity, IP data and payment details.","What is the fraud risk of this order? Consider mismatching addresses, guest checkout with a suspicious email domain, unusual order value, order velocity, IP data and payment details."
"What is the lifetime value potential of this customer? Consider spending so far, order frequency, recency, account age and engagement such as wishlist, reviews and newsletter.","What is the lifetime value potential of this customer? Consider spending so far, order frequency, recency, account age and engagement such as wishlist, reviews and newsletter."
"What is the main problem of this product listing? Answer ""none"" if there is no relevant problem.","What is the main problem of this product listing? Answer ""none"" if there is no relevant problem."
"What is the main risk factor identified in this order? Answer ""none"" when the order looks normal.","What is the main risk factor identified in this order? Answer ""none"" when the order looks normal."
"What is the overall quality of this customer for the store? Consider spending, order frequency, cancellations, refunds, coupon dependency and engagement.","What is the overall quality of this customer for the store? Consider spending, order frequency, cancellations, refunds, coupon dependency and engagement."
"What is the overall quality of this product listing considering its content, data completeness, configuration and ability to convert visitors into buyers?","What is the overall quality of this product listing considering its content, data completeness, configuration and ability to convert visitors into buyers?"
"What is the overall risk level of this order? Combine payment, fraud, fulfillment, shipping and customer history signals present in the order data.","What is the overall risk level of this order? Combine payment, fraud, fulfillment, shipping and customer history signals present in the order data."
"What is the overall sentiment of this review towards the product?","What is the overall sentiment of this review towards the product?"
"What is the potential of this product to be discovered and recommended by AI agents, considering the descriptiveness of its name, description, attributes and categories?","What is the potential of this product to be discovered and recommended by AI agents, considering the descriptiveness of its name, description, attributes and categories?"
"What is the potential of this product to convert visitors into buyers? Consider content quality, price, reviews, stock availability and recent sales.","What is the potential of this product to convert visitors into buyers? Consider content quality, price, reviews, stock availability and recent sales."
"What is the priority of recovering this abandoned cart? Consider the cart value, how far the customer got in checkout, the time since the last update and the customer history.","What is the priority of recovering this abandoned cart? Consider the cart value, how far the customer got in checkout, the time since the last update and the customer history."
"What is the quality of this product's description? Consider length, clarity, benefits, specifications and whether it repeats the title or is empty.","What is the quality of this product's description? Consider length, clarity, benefits, specifications and whether it repeats the title or is empty."
"What is the quality of this product's name (title)? A good title is descriptive, specific and free of internal codes, all caps or filler words.","What is the quality of this product's name (title)? A good title is descriptive, specific and free of internal codes, all caps or filler words."
"What is the risk of a delay or delivery problem for this order? Consider the shipping method, the destination address quality and completeness, and whether a phone number is present.","What is the risk of a delay or delivery problem for this order? Consider the shipping method, the destination address quality and completeness, and whether a phone number is present."
"What is the risk of a problem with the payment of this order (chargeback, failed capture, never paid)? Consider the payment method, its verification results and the amounts paid.","What is the risk of a problem with the payment of this order (chargeback, failed capture, never paid)? Consider the payment method, its verification results and the amounts paid."
"What is the risk that this customer stops buying? Consider days since the last order compared to the usual gap between orders, declining frequency and negative experiences such as refunds.","What is the risk that this customer stops buying? Consider days since the last order compared to the usual gap between orders, declining frequency and negative experiences such as refunds."
"What is the risk that this order has problems during fulfillment (out of stock items, many line items, unusual quantities, incomplete data needed to ship)?","What is the risk that this order has problems during fulfillment (out of stock items, many line items, unusual quantities, incomplete data needed to ship)?"
"What is the risk that this order will be returned or refunded? Consider the product types, quantities, order value and the customer's history of cancellations and refunds.","What is the risk that this order will be returned or refunded? Consider the product types, quantities, order value and the customer's history of cancellations and refunds."
"What is the risk that this product generates returns? Consider product type, sizing or fit attributes, incomplete descriptions and review ratings.","What is the risk that this product generates returns? Consider product type, sizing or fit attributes, incomplete descriptions and review ratings."
"What is the risk that this product is or becomes dead stock (units that will not sell)? Consider stock quantity versus sales pace and time since the last sale.","What is the risk that this product is or becomes dead stock (units that will not sell)? Consider stock quantity versus sales pace and time since the last sale."
"What is the risk that this product runs out of stock soon, given the stock quantity and the recent sales pace?","What is the risk that this product runs out of stock soon, given the stock quantity and the recent sales pace?"
"What priority should this customer receive in customer support?","What priority should this customer receive in customer support?"
"What priority should this product have in promotions and featured placements? Consider sales, reviews, stock and content quality.","What priority should this product have in promotions and featured placements? Consider sales, reviews, stock and content quality."
"What should be done with the inventory of this product?","What should be done with the inventory of this product?"
"What should the moderator do with this review?","What should the moderator do with this review?"
"What the product does for the customer","What the product does for the customer"
"Which argument should the recovery message focus on?","Which argument should the recovery message focus on?"
"Which incentive, if any, should be offered to recover this cart? Avoid incentives for customers who usually buy at full price or who already use a coupon.","Which incentive, if any, should be offered to recover this cart? Avoid incentives for customers who usually buy at full price or who already use a coupon."
"Which merchandising strategy suits this product best?","Which merchandising strategy suits this product best?"
"Which pricing action fits this product best, using only the store's own data (sales pace, stock, reviews, cost and current special price)?","Which pricing action fits this product best, using only the store's own data (sales pace, stock, reviews, cost and current special price)?"
"Which segment best represents this customer?","Which segment best represents this customer?"
"Which strategy should be used to increase this customer's retention?","Which strategy should be used to increase this customer's retention?"
"Which strategy should be used to recover this cart?","Which strategy should be used to recover this cart?"
"Will run out very soon or already out","Will run out very soon or already out"
"Write every request and response to var/log/jev.log.","Write every request and response to var/log/jev.log."
"Wrong or missing categories","Wrong or missing categories"
"Wrong","Wrong"
"Yes","Yes"
"jev-latest (stable)","jev-latest (stable)"
"jev-latest is the stable model; jev-preview is the next version.","jev-latest is the stable model; jev-preview is the next version."
"jev-preview (next version)","jev-preview (next version)"
